순번,법령MST,소관부처코드,소관부처명,법령ID,법령명,공포일자,공포번호,시행일자,법령구분코드,법령구분명,법령분야코드,법령분야명
1,271253,1482000,기후에너지환경부,285,전기공사업법,20250527,제20971호,20251128,A0002,법률,32020000,第2章 電 氣
2,282331,1482000,기후에너지환경부,4686,전기공사업법 시행령,20260102,제35998호,20260102,A0007,대통령령,32020000,第2章 電 氣
3,278985,1482000,기후에너지환경부,8034,전기공사업법 시행규칙,20251001,제1호,20251001,A0114,기후에너지환경부령,32020000,第2章 電 氣
4,283981,1482000,기후에너지환경부,1854,전기사업법,20260310,제21438호,20260310,A0002,법률,32020000,第2章 電 氣
5,281207,1482000,기후에너지환경부,4692,전기사업법 시행령,20251230,제35947호,20260102,A0007,대통령령,32020000,第2章 電 氣
6,278987,1482000,기후에너지환경부,8038,전기사업법 시행규칙,20251001,제1호,20251001,A0114,기후에너지환경부령,32020000,第2章 電 氣
7,268805,1482000,기후에너지환경부,13718,전기안전관리법,20250131,제20727호,20260201,A0002,법률,32020000,第2章 電 氣
8,282333,1482000,기후에너지환경부,14047,전기안전관리법 시행령,20260102,제35998호,20260102,A0007,대통령령,32020000,第2章 電 氣
9,279943,1482000,기후에너지환경부,14058,전기안전관리법 시행규칙,20251126,제6호,20251128,A0114,기후에너지환경부령,32020000,第2章 電 氣
10,276591,1451000,산업통상부,1459,전기용품 및 생활용품 안전관리법,20251001,제21065호,20251001,A0002,법률,29030000,第3章 工業品品質管理
11,282997,1451000,산업통상부,4698,전기용품 및 생활용품 안전관리법 시행령,20260127,제36055호,20260201,A0007,대통령령,29030000,第3章 工業品品質管理
12,285265,1451000,산업통상부,8044,전기용품 및 생활용품 안전관리법 시행규칙,20260401,제9호,20260401,A0113,산업통상부령,29030000,第3章 工業品品質管理
13,206003,1721000,과학기술정보통신부,1734,전기통신기본법,20181224,제16019호,20190625,A0002,법률,43030000,第3章 情報通信
14,109707,1721000,과학기술정보통신부,4705,전기통신기본법 시행령,20101231,제22605호,20110124,A0007,대통령령,43030000,第3章 情報通信
15,276243,1571000 1721000,"과학기술정보통신부,방송미디어통신위원회",1733,전기통신사업법,20251001,제21065호,20260102,A0002,법률,43030000,第3章 情報通信
16,284847,1571000 1721000,"과학기술정보통신부,방송미디어통신위원회",4708,전기통신사업법 시행령,20260324,제36220호,20260324,A0007,대통령령,43030000,第3章 情報通信
17,268833,1721000,과학기술정보통신부,1445,정보통신공사업법,20250131,제20730호,20260201,A0002,법률,43030000,第3章 情報通信
18,284859,1721000,과학기술정보통신부,4704,정보통신공사업법 시행령,20260324,제36220호,20260324,A0007,대통령령,43030000,第3章 情報通信
21,2100000267862,,기후에너지환경부,51861,전기안전관리자의 직무에 관한 고시,20251001,2025-15,20251001,,고시,,
